# Cards with Hall of Heroes image URLs
# Format: table | id | hero | subtype | name | image_url

hero_identity | 12001c | Ant-Man | hero_2 | Ant-Man | https://hallofheroeslcg.com/wp-content/uploads/2020/11/a0b.jpg
hero_identity | 29003b | Ironheart | alter_ego | Riri Williams | https://hallofheroeslcg.com/wp-content/uploads/2022/05/i0c.jpg
hero_identity | 29002b | Ironheart | alter_ego | Riri Williams | https://hallofheroeslcg.com/wp-content/uploads/2022/05/i0b.jpg
hero_identity | 29002a | Ironheart | hero_2 | Ironheart | https://hallofheroeslcg.com/wp-content/uploads/2022/05/i0e.jpg
hero_identity | 29003a | Ironheart | hero_3 | Ironheart | https://hallofheroeslcg.com/wp-content/uploads/2022/05/i0f.jpg
hero_identity | 14001b | Quicksilver | alter_ego | Pietro Maximoff | https://hallofheroeslcg.com/wp-content/uploads/2020/12/0b.jpg
deck_card | 58002 | Wonder Man | upgrade | Ionic Physiology | https://hallofheroeslcg.com/wp-content/uploads/2026/03/58002.jpg
deck_card | 58003 | Wonder Man | event | Active Altruism | https://hallofheroeslcg.com/wp-content/uploads/2026/03/58003.jpg
deck_card | 58004 | Wonder Man | event | Ionic Blast | https://hallofheroeslcg.com/wp-content/uploads/2026/03/58004.jpg
deck_card | 58005 | Wonder Man | event | Starstruck | https://hallofheroeslcg.com/wp-content/uploads/2026/03/58005.jpg
deck_card | 58006 | Wonder Man | resource | Energy Siphon | https://hallofheroeslcg.com/wp-content/uploads/2026/03/58006.jpg
deck_card | 58007 | Wonder Man | support | Wonder Fans | https://hallofheroeslcg.com/wp-content/uploads/2026/03/58007.jpg
deck_card | 58008 | Wonder Man | upgrade | Jet Belt | https://hallofheroeslcg.com/wp-content/uploads/2026/03/58008.jpg
deck_card | 58009 | Wonder Man | upgrade | Mr. Hollywood | https://hallofheroeslcg.com/wp-content/uploads/2026/03/58009.jpg
deck_card | 58010 | Wonder Man | upgrade | Signature Sunglasses | https://hallofheroeslcg.com/wp-content/uploads/2026/03/58010.jpg
deck_card | 58011 | Wonder Man | upgrade | "What Are You?" | https://hallofheroeslcg.com/wp-content/uploads/2026/03/58011.jpg
deck_card | 58012 | Basic | ally | Firebird | https://hallofheroeslcg.com/wp-content/uploads/2026/03/58012.jpg
deck_card | 58013 | Basic | ally | Hawkeye | https://hallofheroeslcg.com/wp-content/uploads/2026/03/58013.jpg
deck_card | 58014 | Basic | ally | Scarlet Witch | https://hallofheroeslcg.com/wp-content/uploads/2026/03/58014.jpg
deck_card | 58015 | Basic | ally | Sentry | https://hallofheroeslcg.com/wp-content/uploads/2026/03/58015.jpg
deck_card | 58016 | Basic | event | Battlefield Benevolence | https://hallofheroeslcg.com/wp-content/uploads/2026/03/58016.jpg
